"","mean.PVOUT_01","mean.PVOUT_02","mean.PVOUT_03","mean.PVOUT_04","mean.PVOUT_05","mean.PVOUT_06","mean.PVOUT_07","mean.PVOUT_08","mean.PVOUT_09","mean.PVOUT_10","mean.PVOUT_11","mean.PVOUT_12"
"1",3.40475784301758,3.00219179789225,3.13981956481934,2.75740600585938,2.45492084503174,2.24766061147054,2.46224858601888,2.73330392201742,3.01768272399902,3.21554908752441,3.30948547363281,3.3850513458252
"2",3.47926411946615,3.09622174580892,3.21363057454427,2.79666659037272,2.4826088587443,2.26917023976644,2.50435437520345,2.79198089599609,3.07586163838704,3.31907605489095,3.36900235493978,3.44062342325846
"3",3.41712023417155,3.03806630452474,3.15997800191243,2.74418833414714,2.44227429707845,2.21995639801025,2.44121089935303,2.76385185241699,3.02506055196126,3.25758181254069,3.30831909179688,3.39807065327962
"4",3.28994758605957,2.93190307617188,3.06951034545898,2.70110940297445,2.42482568105062,2.19054145812988,2.41785268147786,2.75062294006348,2.9857021077474,3.18044092814128,3.20949501037598,3.28756457010905
"5",3.23052062988281,2.87753209431966,3.03425738016764,2.70156613667806,2.47985622406006,2.26531503041585,2.49649353027344,2.7875365447998,2.98559102376302,3.15562721252441,3.1644699605306,3.23464495340983
"6",3.2363707224528,2.87807164510091,3.03567171732585,2.69859480539958,2.45253039042155,2.23806209564209,2.46074994405111,2.76021153767904,2.9676655069987,3.15826512654622,3.16682355244954,3.2467805480957
"7",3.83487007141113,3.45179827372233,3.5308110555013,2.99170262654622,2.59224032084147,2.31315040588379,2.59298732757568,2.89836794535319,3.27124084472656,3.64714772542318,3.64614730834961,3.75780952453613
"8",3.6740148417155,3.28625900268555,3.38077593485514,2.88201644897461,2.52092886606852,2.25444004058838,2.52482011159261,2.85969881693522,3.19622444152832,3.51065691630046,3.52157587687174,3.61798751831055
"9",3.77010381062826,3.37816347757975,3.47749239603678,2.97694135030111,2.66317504882812,2.40530762990316,2.65613675435384,3.01179791768392,3.31270856221517,3.60603739420573,3.59635258992513,3.70212305704753
"10",3.33538093566895,2.9656706237793,3.1113404083252,2.73442798614502,2.51485263824463,2.23685356140137,2.4636255645752,2.81207817077637,3.02953366597494,3.2308667755127,3.21788581848145,3.33912671407064
"11",3.19237584431966,2.82509020487467,3.00722396850586,2.68017321268717,2.4856557337443,2.22620404561361,2.44408023834229,2.77233655293783,2.94827672322591,3.11783882141113,3.08501185099284,3.19262379964193
"12",3.16526903788249,2.79732086181641,2.98782460530599,2.67411450703939,2.47232367197673,2.22531057993571,2.44614008585612,2.77099164326986,2.95176231384277,3.11231272379557,3.07208180745443,3.17235593159994
"13",3.15679954528809,2.79996836344401,2.98875394185384,2.66560071309408,2.45327805836995,2.19926105499268,2.42441176096598,2.75673817952474,2.94507148742676,3.08980102539063,3.05952138264974,3.15231221516927
"14",3.19395879109701,2.82677729288737,3.00393541971842,2.65711353302002,2.44591808319092,2.19738519032796,2.41692979176839,2.74961277008057,2.94332323710124,3.10064030965169,3.08237988789876,3.17698079427083
"15",3.24531661987305,2.85983271280924,3.03013603210449,2.66660443623861,2.44186517079671,2.192326075236,2.41321459452311,2.75304298400879,2.97223515828451,3.14053400675456,3.125558497111,3.23404688517253
"16",3.27062029520671,2.8649240620931,3.05622556050618,2.69394613901774,2.49250376383464,2.25219240824382,2.47096504211426,2.80227401733398,3.02138849894206,3.17251958211263,3.1617768351237,3.27270444234212
"17",3.25104008992513,2.82769836425781,3.0599515024821,2.70797478993734,2.55469938913981,2.33999768575033,2.54898897806803,2.85571334838867,3.05372286478678,3.19003382364909,3.16981951395671,3.25945635477702
"18",3.18067003885905,2.75333044687907,3.01898002624512,2.68984413146973,2.54533312479655,2.35587773640951,2.55504536946615,2.85381830851237,3.02016525268555,3.13981493631999,3.11233156840007,3.18766667683919
"19",3.12513432820638,2.71548039754232,2.97054178873698,2.65562513987223,2.50901147206624,2.34082767486572,2.52277348836263,2.80613749186198,2.95937288920085,3.07961502075195,3.04747505187988,3.13137222290039
"20",3.10018870035807,2.71220441182454,2.95479497273763,2.65793657938639,2.518650487264,2.3658346303304,2.53544036865234,2.80504450480143,2.94237604777018,3.04618799845378,3.05182022094727,3.11388376871745
"21",3.90458023071289,3.54498715718587,3.58686416625977,2.92995778401693,2.39762828826904,2.03309412638346,2.34611738840739,2.65974285125732,3.08305796305339,3.62243153889974,3.64059906005859,3.81234316507975
"22",3.89509841918945,3.52245529174805,3.5749996693929,2.96476542154948,2.51121430714925,2.1718100865682,2.48854143778483,2.83805132548014,3.26490244547526,3.6705685933431,3.67043436686198,3.79739807128906
"23",3.63785568237305,3.24024014790853,3.3575478108724,2.89048263549805,2.63352058410645,2.33925299326579,2.59328322092692,2.94715596516927,3.21965126037598,3.45639073689779,3.45078992207845,3.6015517171224
"24",3.6157066599528,3.20730010986328,3.34172627766927,2.86636220296224,2.6080707804362,2.32040723164876,2.57701487223307,2.94002477010091,3.23723261515299,3.47157915751139,3.45824974060059,3.58135261535645
"25",3.65552068074544,3.24875823974609,3.376218846639,2.92273798624674,2.69622517903646,2.45322168986003,2.70385063171387,3.03494537353516,3.30061627705892,3.51888771057129,3.50106071472168,3.63187301635742
"26",3.13248405456543,2.74005062103271,2.96830787658691,2.647734375,2.53424836476644,2.41070974985758,2.56681894938151,2.81583386739095,2.97230623881022,3.09095120747884,3.06929578145345,3.1672173055013
"27",3.13164166768392,2.75797101338704,2.96508445739746,2.64561534881592,2.52414302825928,2.39538594563802,2.55702983856201,2.78536875406901,2.95250948588053,3.08742693583171,3.04935918172201,3.18424819946289
"28",3.10685076395671,2.75135176340739,2.95712542215983,2.64306735992432,2.5124932607015,2.3973824818929,2.55501660664876,2.77361335754395,2.93901674906413,3.07901695251465,3.04455017089844,3.16976198832194
"29",3.04157768249512,2.70252092997233,2.92045249938965,2.63780310312907,2.51480470021566,2.40959345499674,2.57292840321859,2.7823592376709,2.91080968221029,3.02348256429036,2.99173337300618,3.09692726135254
"30",3.0158257039388,2.69214118957519,2.89340850830078,2.63577267964681,2.50380540211995,2.41017152150472,2.56865381876628,2.76833967844645,2.88502861022949,2.98768641153971,2.95803955078125,3.07044860839844
"31",3.32048444112142,2.91096605936686,3.10971878051758,2.72993602752686,2.62442326863607,2.47533930460612,2.67286134084066,2.94380493164063,3.11663276672363,3.27922930399577,3.23949132283529,3.34788846333822
"32",3.1280069732666,2.76294681549072,3.00112889607747,2.68504652659098,2.59740589141846,2.45274115244548,2.63327891031901,2.86658734639486,3.02917231241862,3.13790105183919,3.07483080546061,3.1739094543457
"33",3.08453776041667,2.75071286519368,2.97540237426758,2.67684895833333,2.60724575042725,2.47306571960449,2.64713333129883,2.85837407430013,3.00773475646973,3.10389149983724,3.03687347412109,3.14212389628092
"34",3.07092269897461,2.74787691752116,2.96860773722331,2.66480163574219,2.58412375132243,2.44965989430745,2.62390024820964,2.82619542439779,2.98287178039551,3.08111895243327,3.01211530049642,3.13235875447591
"35",3.01389264424642,2.68360673268636,2.90914639790853,2.66892562866211,2.60495431264242,2.50139395395915,2.65430783589681,2.85632133483887,2.96067812601725,3.02298566182454,2.97648345947266,3.04699600219727
"36",2.98514172871908,2.66731143951416,2.88565444946289,2.65604038238525,2.57817001342773,2.48363159179687,2.63559315999349,2.83529571533203,2.93847157796224,2.99812202453613,2.95648272196452,3.02026344299316
"37",3.00518610636393,2.6940454864502,2.89417518615723,2.66438242594401,2.54447685241699,2.45308101654053,2.60643807729085,2.80432444254557,2.9237671661377,3.00233792622884,2.96197807312012,3.04146031697591
"38",4.08568216959635,3.73946281433106,3.86548561096191,3.23291951497396,2.7346975962321,2.34672620137533,2.67301275889079,2.94020395914714,3.36399200439453,3.87491221110026,3.84257619222005,3.99865745544434
"39",3.32082364400228,2.97118845621745,3.18517951965332,2.8283526357015,2.73963108062744,2.59115295410156,2.79722663879395,3.03072352091471,3.17998369852702,3.3269332631429,3.24047520955404,3.38906194051107
"40",3.25313051859538,2.91800799051921,3.1376735941569,2.80237915039063,2.73571966807048,2.58521987915039,2.78639958699544,3.00607345581055,3.1471041615804,3.28017946879069,3.18599942525228,3.32609550476074
"41",3.09468541463216,2.78041791280111,2.99700721740723,2.73266304016113,2.68222049713135,2.5524330774943,2.71230392456055,2.92802736918132,3.0486701965332,3.13256306966146,3.07088203430176,3.13998916625977
"42",3.02860994974772,2.72830547332764,2.93653818766276,2.68240200042725,2.61731108347575,2.49578404744466,2.65299797058105,2.86338574727376,2.99100240071615,3.06343510945638,2.99349617004395,3.06953712463379
"43",2.99374214172363,2.70225958506266,2.92494115193685,2.70236223856608,2.62751560211182,2.518523534139,2.67477836608887,2.86910095214844,2.98343844095866,3.03070203145345,2.9640377553304,3.03364013671875
"44",2.91496739705404,2.64783008575439,2.86582562764486,2.68544887542725,2.60411010742188,2.51130224863688,2.66620820363363,2.85133379618327,2.93308433532715,2.94927714029948,2.88745658874512,2.94183252970378
"45",2.91858721415202,2.65856440226237,2.85138140360514,2.67757844289144,2.58267817179362,2.49322481791178,2.6376594543457,2.81795934041341,2.89075108846029,2.92228406270345,2.87437777201335,2.94605471293132
"46",4.03348559061686,3.63729596455892,3.76245356241862,3.10941462198893,2.54071851094564,2.24943051656087,2.56180892944336,2.7578164545695,3.14186106363932,3.68886703491211,3.7441379292806,3.94178278605143
"47",3.94688306172689,3.59116172790527,3.71656331380208,3.09026883443197,2.56205192565918,2.22303468068441,2.53044621785482,2.72254976908366,3.07626530965169,3.6118078104655,3.64780298868815,3.84839950561523
"48",3.94910176595052,3.60147997538249,3.69498194376628,3.04327865600586,2.53285006205241,2.14432556152344,2.46007699330648,2.67906452178955,3.05613001505534,3.62678034464518,3.65456258138021,3.85810315450033
"49",3.09298245747884,2.80791880289714,3.00665730794271,2.78784367879232,2.73498489379883,2.60343633015951,2.7888702138265,3.00483103434245,3.10384885152181,3.17582499186198,3.06857439676921,3.1333393351237
"50",3.08584663391113,2.80635866800944,2.99209869384766,2.78004267374674,2.72619702657064,2.59250315348307,2.77565121968587,2.97671422322591,3.08989227294922,3.16056648254395,3.04295829772949,3.12362378438314
"51",3.03363418579102,2.76243850708008,2.96755839029948,2.77346260070801,2.71194653828939,2.58751710255941,2.76655175526937,2.96459251403809,3.0606857808431,3.09466888427734,2.98184987386068,3.05984537760417
"52",2.9003525797526,2.6376687113444,2.87849217732747,2.75297636667887,2.717150293986,2.62153954823812,2.78853960673014,2.97209431966146,3.00982386271159,2.97269503275553,2.87879236857096,2.8977596282959
"53",2.84287389119466,2.59867162068685,2.83158134460449,2.73649874369303,2.70357011159261,2.62037217458089,2.77233010609945,2.95144823710124,2.96155456542969,2.91613047281901,2.82281695048014,2.84732419331868
"54",2.77810068766276,2.56320938110352,2.78108606974284,2.6997580464681,2.64669031778971,2.55472848256429,2.70965972900391,2.87682723999023,2.87615247090658,2.8481302134196,2.76101061503092,2.80117408752441
"55",3.9966476949056,3.64950561523438,3.7489072672526,3.10667091369629,2.61594551086426,2.21478355407715,2.52851877848307,2.75763429005941,3.14056442260742,3.70030802408854,3.72875511169434,3.91881914774577
"56",4.09773610432943,3.73741040547689,3.86807029724121,3.29788447062174,2.84267222086589,2.45135392506917,2.76636297861735,3.09357986450195,3.52201789855957,3.96436060587565,3.9218997446696,4.04919967651367
"57",3.31434638977051,3.01825963338216,3.21130541483561,2.91249346415202,2.79677106221517,2.63230147043864,2.87338628133138,3.14990142822266,3.26761739095052,3.41478416442871,3.27585843404134,3.40095420837402
"58",3.11173217773438,2.84561462402344,3.02791931152344,2.83252159118652,2.75873273213704,2.618734181722,2.83862459818522,3.07218826293945,3.15717445373535,3.21197390238444,3.08509417215983,3.14435582478841
"59",2.86650403340658,2.62128084818522,2.86160311381022,2.80334419250488,2.7929869333903,2.70758781433105,2.88998242696126,3.08023590087891,3.0532223256429,2.97515508015951,2.87317370096843,2.86864504496257
"60",2.78912081400553,2.55781635284424,2.79407760620117,2.73429756164551,2.71111935933431,2.61560019175212,2.79294593811035,2.96745986938477,2.94414016723633,2.8781810760498,2.78102259318034,2.79512794494629
"61",2.7315052541097,2.52030467987061,2.7477641805013,2.68003072102865,2.645603612264,2.5388950475057,2.71221135457357,2.87406964619954,2.85113543192546,2.79571807861328,2.70555689493815,2.72884684244792
"62",2.78248288472493,2.58259254455566,2.78579523722331,2.68450333913167,2.63946886698405,2.51796001434326,2.69416086832682,2.85846598307292,2.8314262898763,2.80810228983561,2.74118609110514,2.76632115681966
"63",4.03908309936523,3.68216860453288,3.81551038106283,3.2056209564209,2.70168366750081,2.35345058441162,2.67256346384684,2.87767690022786,3.22949310302734,3.76628033955892,3.79747973124186,3.97714485168457
"64",3.98802810668945,3.64452138264974,3.7680047861735,3.15201367696126,2.66190898895264,2.28838247934977,2.59768062591553,2.804195505778,3.15736752827962,3.71322781880697,3.74647466023763,3.91465283711751
"65",4.03035705566406,3.68614448547363,3.86786201477051,3.38897994995117,3.0473100789388,2.71867505391439,3.00901222229004,3.31248176574707,3.65656010945638,4.00037562052409,3.91550150553385,4.0070852915446
"66",3.31552070617676,3.02882186889648,3.25598002115885,2.99491612752279,2.93120648701986,2.80591664632161,3.03838368733724,3.31059961954753,3.38567123413086,3.44813680013021,3.3380509185791,3.38825988769531
"67",3.27846229553223,2.98764640808105,3.19586441040039,2.9777579498291,2.91772069295247,2.81118090311686,3.0459595489502,3.2742483774821,3.32696632385254,3.3776510365804,3.29162806193034,3.34167767842611
"68",3.08054601033529,2.81293345133464,3.0312600962321,2.89998494466146,2.85931266784668,2.76435106913249,2.98778625488281,3.18842938741048,3.19379282633464,3.17912907918294,3.09435150146484,3.11569847106934
"69",2.96699933369954,2.71020390828451,2.94260747273763,2.84518020629883,2.82083297729492,2.72008013407389,2.92570882161458,3.12719566345215,3.10286794026693,3.05456260681152,2.97241798400879,2.98312039693197
"70",2.79638392130534,2.57615645090739,2.82699417114258,2.7763200378418,2.78992518107096,2.67693078358968,2.86965868631999,3.02310236612956,2.98353068033854,2.89485590616862,2.79732912699382,2.79404090881348
"71",2.70272425333659,2.51337548573812,2.7662907409668,2.72762772878011,2.75704366048177,2.6354786046346,2.82691747029622,2.96909968058268,2.90022099812826,2.80359214782715,2.70172201792399,2.69731155395508
"72",2.67517244974772,2.49930650075277,2.7320720799764,2.67512699127197,2.6870356241862,2.54639767964681,2.74383838653564,2.86633013407389,2.80907526652018,2.74143421173096,2.63778475443522,2.64546641031901
"73",4.03994400024414,3.6862294514974,3.83515505472819,3.23295290629069,2.75600472768148,2.39060206095378,2.70189938863119,2.91110359191895,3.25239789326986,3.78361968994141,3.80470779418945,3.98843905131022
"74",4.00404238382975,3.66181477864583,3.81028381347656,3.21843065897624,2.76127460479736,2.37296995798747,2.68374707539876,2.91440338134766,3.24789866129557,3.78183970133464,3.79384239196777,3.95387275695801
"75",4.04098243713379,3.69387705485026,3.84403251647949,3.28238098144531,2.84408226013184,2.45214589436849,2.76390293121338,3.0248853302002,3.37419850667318,3.87900876363118,3.86241129557292,4.00300989786784
"76",3.49600242614746,3.20617835998535,3.46343101501465,3.11227139790853,3.01252922058105,2.88460344950358,3.1417000579834,3.4579855855306,3.58036145528158,3.72130818684896,3.57594785054525,3.65305203755697
